Entrez_Gene_Id,DepMap_ID
7157,ACH-000145
8828,ACH-000145
4893,ACH-000146
26579,ACH-000146
58508,ACH-000146
55638,ACH-000146
11240,ACH-000147
8289,ACH-000147
7157,ACH-000147
162989,ACH-000147
5290,ACH-000147
221476,ACH-000147
3265,ACH-000148
55812,ACH-000148
7157,ACH-000148
55205,ACH-000148
287,ACH-000148
5295,ACH-000148
6101,ACH-000148
27130,ACH-000148
4893,ACH-000149
93134,ACH-000149
6597,ACH-000149
238,ACH-000149
254973,ACH-000149
388697,ACH-000150
5728,ACH-000150
688,ACH-000150
27030,ACH-000150
23059,ACH-000150
7157,ACH-000150
8913,ACH-000150
79665,ACH-000150
6323,ACH-000150
324,ACH-000150
256227,ACH-000150
1956,ACH-000150
7728,ACH-000151
27130,ACH-000151
79626,ACH-000152
7157,ACH-000152
92949,ACH-000152
84033,ACH-000153
2113,ACH-000153
283450,ACH-000153
57690,ACH-000153
25925,ACH-000153
162963,ACH-000153
950,ACH-000153
55227,ACH-000153
51059,ACH-000153
9214,ACH-000154
11010,ACH-000154
160418,ACH-000154
2028,ACH-000154
2051,ACH-000154
26011,ACH-000155
3845,ACH-000155
7157,ACH-000155
27346,ACH-000155
130749,ACH-000155
2712,ACH-000155
5179,ACH-000156
51450,ACH-000156
55561,ACH-000157
26579,ACH-000157
7157,ACH-000157
8288,ACH-000157
9256,ACH-000157
4294,ACH-000157
165829,ACH-000157
3062,ACH-000157
9774,ACH-000157
5872,ACH-000158
8483,ACH-000158
9476,ACH-000158
84168,ACH-000158
4615,ACH-000158
5292,ACH-000158
0,ACH-000158
84893,ACH-000159
5728,ACH-000159
7090,ACH-000159
10232,ACH-000159
284111,ACH-000159
610,ACH-000159
26167,ACH-000159
89848,ACH-000159
5239,ACH-000159
11217,ACH-000159
221078,ACH-000160
55244,ACH-000160
127066,ACH-000161
3417,ACH-000161
28990,ACH-000161
4893,ACH-000162
127069,ACH-000162
390061,ACH-000162
3762,ACH-000162
160418,ACH-000162
57626,ACH-000162
7157,ACH-000162
7157,ACH-000162
89765,ACH-000162
9859,ACH-000163
825,ACH-000163
7157,ACH-000163
7468,ACH-000163
11217,ACH-000163
474354,ACH-000164
26033,ACH-000164
3845,ACH-000164
405753,ACH-000164
7157,ACH-000164
56132,ACH-000164
154661,ACH-000164
79815,ACH-000164
10257,ACH-000165
30835,ACH-000165
7157,ACH-000166
200558,ACH-000166
5530,ACH-000166
7402,ACH-000166
4796,ACH-000166
22844,ACH-000166
27130,ACH-000166
22955,ACH-000167
81328,ACH-000167
50801,ACH-000167
90576,ACH-000167
84107,ACH-000167
5506,ACH-000167
51105,ACH-000167
341019,ACH-000168
3845,ACH-000168
7157,ACH-000168
8744,ACH-000168
91662,ACH-000168
9391,ACH-000168
53353,ACH-000168
171023,ACH-000168
151790,ACH-000168
134121,ACH-000168
56108,ACH-000168
30815,ACH-000168
4893,ACH-000169
7157,ACH-000169
9378,ACH-000169
85440,ACH-000171
60676,ACH-000171
339479,ACH-000171
84033,ACH-000171
338323,ACH-000171
7157,ACH-000171
29994,ACH-000171
133619,ACH-000171
0,ACH-000171
84243,ACH-000173
390075,ACH-000173
3845,ACH-000173
23457,ACH-000173
51156,ACH-000173
7157,ACH-000173
26154,ACH-000173
55294,ACH-000173
84059,ACH-000173
10142,ACH-000173
10439,ACH-000173
1316,ACH-000174
3845,ACH-000174
124997,ACH-000174
7157,ACH-000174
2890,ACH-000174
5069,ACH-000174
199920,ACH-000175
79053,ACH-000175
114799,ACH-000175
8218,ACH-000175
0,ACH-000175
2079,ACH-000176
7157,ACH-000176
93134,ACH-000176
26154,ACH-000176
5290,ACH-000176
57823,ACH-000177
7273,ACH-000177
387,ACH-000177
221322,ACH-000177
26002,ACH-000177
1993,ACH-000177
26267,ACH-000177
142,ACH-000178
3845,ACH-000178
6559,ACH-000178
4324,ACH-000178
129684,ACH-000178
2066,ACH-000178
7157,ACH-000179
6860,ACH-000179
7837,ACH-000179
23315,ACH-000179
1413,ACH-000179
84561,ACH-000179
5232,ACH-000179
5226,ACH-000180
79339,ACH-000180
283464,ACH-000180
7157,ACH-000180
259282,ACH-000180
79733,ACH-000181
6578,ACH-000181
0,ACH-000182
51684,ACH-000182
3845,ACH-000182
7103,ACH-000182
54982,ACH-000182
192666,ACH-000182
4089,ACH-000182
3899,ACH-000182
3689,ACH-000182
6331,ACH-000182
1499,ACH-000182
3699,ACH-000182
5290,ACH-000182
0,ACH-000182
27445,ACH-000182
4893,ACH-000183
26052,ACH-000183
117194,ACH-000183
143570,ACH-000183
57605,ACH-000183
12,ACH-000183
284382,ACH-000183
5290,ACH-000183
158131,ACH-000183
472,ACH-000184
3845,ACH-000186
7157,ACH-000186
10045,ACH-000186
2202,ACH-000186
55714,ACH-000186
55610,ACH-000186
130075,ACH-000186
60676,ACH-000187
83851,ACH-000187
7157,ACH-000187
7429,ACH-000187
7047,ACH-000187
0,ACH-000187
7157,ACH-000188
786,ACH-000188
8876,ACH-000188
23414,ACH-000188
81472,ACH-000189
8408,ACH-000189
23524,ACH-000189
50944,ACH-000189
6598,ACH-000189
0,ACH-000189
135948,ACH-000189
4893,ACH-000190
7157,ACH-000190
84803,ACH-000190
157724,ACH-000190
7802,ACH-000191
1117,ACH-000191
60492,ACH-000191
2998,ACH-000191
10206,ACH-000191
7157,ACH-000191
84467,ACH-000191
256227,ACH-000191
673,ACH-000191
27130,ACH-000191
8028,ACH-000192
2263,ACH-000192
1108,ACH-000192
53373,ACH-000192
10208,ACH-000192
7157,ACH-000192
5290,ACH-000192
167681,ACH-000192
5243,ACH-000192
84988,ACH-000192
1993,ACH-000192
3845,ACH-000193
23742,ACH-000193
7157,ACH-000193
8529,ACH-000193
96459,ACH-000193
23345,ACH-000193
7553,ACH-000193
134957,ACH-000194
4853,ACH-000195
5106,ACH-000195
7157,ACH-000195
7157,ACH-000195
1788,ACH-000195
219285,ACH-000195
4162,ACH-000196
7157,ACH-000196
9934,ACH-000196
4062,ACH-000196
4893,ACH-000197
22796,ACH-000197
56288,ACH-000197
784,ACH-000197
7157,ACH-000197
7157,ACH-000197
147965,ACH-000197
29930,ACH-000197
3910,ACH-000197
3834,ACH-000197
55756,ACH-000197
259295,ACH-000198
321,ACH-000198
1387,ACH-000198
6597,ACH-000198
6511,ACH-000198
23762,ACH-000198
5291,ACH-000198
65217,ACH-000199
344558,ACH-000199
7428,ACH-000199
84243,ACH-000200
79591,ACH-000200
9404,ACH-000200
673,ACH-000200
3749,ACH-000201
63923,ACH-000201
120776,ACH-000201
152330,ACH-000201
55915,ACH-000201
9563,ACH-000202
2703,ACH-000202
1130,ACH-000202
7157,ACH-000202
9360,ACH-000202
90102,ACH-000202
7366,ACH-000202
23194,ACH-000202
3134,ACH-000202
23678,ACH-000202
1993,ACH-000202
23263,ACH-000203
548596,ACH-000203
100526794,ACH-000203
79633,ACH-000203
60468,ACH-000203
387129,ACH-000203
222950,ACH-000203
654463,ACH-000203
158038,ACH-000203
143162,ACH-000204
51585,ACH-000204
5959,ACH-000204
7157,ACH-000204
5212,ACH-000204
91156,ACH-000205
8642,ACH-000205
3845,ACH-000205
23199,ACH-000205
10849,ACH-000205
56983,ACH-000205
79740,ACH-000205
2651,ACH-000205
5879,ACH-000205
4893,ACH-000206
219436,ACH-000206
5959,ACH-000206
126295,ACH-000206
285335,ACH-000206
51191,ACH-000206
55714,ACH-000206
8367,ACH-000206
7157,ACH-000207
5290,ACH-000207
221914,ACH-000207
1029,ACH-000207
7539,ACH-000207
5728,ACH-000208
390075,ACH-000208
93589,ACH-000208
7157,ACH-000208
1029,ACH-000208
6249,ACH-000209
22909,ACH-000209
94025,ACH-000209
126017,ACH-000209
344387,ACH-000209
3417,ACH-000209
0,ACH-000209
26038,ACH-000210
0,ACH-000210
463,ACH-000210
50487,ACH-000210
51554,ACH-000210
205860,ACH-000210
23345,ACH-000210
256227,ACH-000210
158038,ACH-000210
374308,ACH-000211
0,ACH-000211
775,ACH-000211
283455,ACH-000211
7157,ACH-000211
23040,ACH-000211
84620,ACH-000211
4636,ACH-000211
0,ACH-000211
5295,ACH-000211
56131,ACH-000211
2184,ACH-000212
7157,ACH-000212
7837,ACH-000212
1993,ACH-000212
6262,ACH-000213
120425,ACH-000213
3845,ACH-000213
7157,ACH-000213
8632,ACH-000213
5243,ACH-000213
392376,ACH-000213
23251,ACH-000214
23062,ACH-000214
1296,ACH-000215
23418,ACH-000215
3359,ACH-000215
25834,ACH-000215
5925,ACH-000215
26030,ACH-000215
10368,ACH-000215
57834,ACH-000215
10288,ACH-000215
84561,ACH-000215
133482,ACH-000215
7157,ACH-000216
9512,ACH-000216
89846,ACH-000216
84243,ACH-000217
3228,ACH-000217
160728,ACH-000217
23431,ACH-000217
9392,ACH-000217
53353,ACH-000217
57574,ACH-000217
8202,ACH-000217
10788,ACH-000217
222235,ACH-000217
6146,ACH-000218
163778,ACH-000218
6041,ACH-000218
5784,ACH-000218
120,ACH-000218
3845,ACH-000218
8408,ACH-000218
89765,ACH-000218
9774,ACH-000218
10439,ACH-000218
2475,ACH-000219
912,ACH-000219
414301,ACH-000219
5288,ACH-000219
390327,ACH-000219
65012,ACH-000219
7273,ACH-000219
91752,ACH-000219
6769,ACH-000219
84666,ACH-000219
2565,ACH-000219
255119,ACH-000219
84059,ACH-000219
28965,ACH-000219
442194,ACH-000219
221823,ACH-000219
8295,ACH-000219
673,ACH-000219
5339,ACH-000219
1029,ACH-000219
23064,ACH-000219
4893,ACH-000220
4009,ACH-000220
90011,ACH-000220
3913,ACH-000220
221935,ACH-000220
1029,ACH-000220
27130,ACH-000220
2220,ACH-000220
84067,ACH-000221
7157,ACH-000221
8632,ACH-000221
1499,ACH-000221
56983,ACH-000221
185,ACH-000221
1008,ACH-000221
133482,ACH-000221
154664,ACH-000221
3845,ACH-000222
9119,ACH-000222
3071,ACH-000222
646,ACH-000222
2013,ACH-000222
7157,ACH-000222
93134,ACH-000222
5178,ACH-000222
55294,ACH-000222
1010,ACH-000222
1029,ACH-000222
27253,ACH-000223
7157,ACH-000223
54221,ACH-000223
3836,ACH-000223
1359,ACH-000223
1180,ACH-000223
23237,ACH-000223
1993,ACH-000223
196740,ACH-000224
117195,ACH-000224
124359,ACH-000224
7273,ACH-000224
491,ACH-000224
10142,ACH-000224
55636,ACH-000224
10880,ACH-000224
128367,ACH-000225
3192,ACH-000225
10718,ACH-000225
27287,ACH-000225
1833,ACH-000225
124274,ACH-000225
7157,ACH-000225
7157,ACH-000225
80731,ACH-000225
64283,ACH-000225
56147,ACH-000225
91975,ACH-000225
3912,ACH-000225
